uf,tipo_crime,ano,mes,quantidade_ocorrencias
Acre,Estupro,2022,1,31
Acre,Furto de veículo,2022,1,50
Acre,Homicídio doloso,2022,1,10
Acre,Lesão corporal seguida de morte,2022,1,1
Acre,Roubo a instituição financeira,2022,1,0
Acre,Roubo de carga,2022,1,0
Acre,Roubo de veículo,2022,1,72
Acre,Roubo seguido de morte (latrocínio),2022,1,0
Acre,Tentativa de homicídio,2022,1,22
Acre,Estupro,2022,2,34
Acre,Furto de veículo,2022,2,55
Acre,Homicídio doloso,2022,2,10
Acre,Lesão corporal seguida de morte,2022,2,0
Acre,Roubo a instituição financeira,2022,2,0
Acre,Roubo de carga,2022,2,0
Acre,Roubo de veículo,2022,2,48
Acre,Roubo seguido de morte (latrocínio),2022,2,2
Acre,Tentativa de homicídio,2022,2,18
Acre,Estupro,2022,3,57
Acre,Furto de veículo,2022,3,44
Acre,Homicídio doloso,2022,3,21
Acre,Lesão corporal seguida de morte,2022,3,0
Acre,Roubo a instituição financeira,2022,3,0
Acre,Roubo de carga,2022,3,0
Acre,Roubo de veículo,2022,3,68
Acre,Roubo seguido de morte (latrocínio),2022,3,0
Acre,Tentativa de homicídio,2022,3,37
Acre,Estupro,2022,4,28
Acre,Furto de veículo,2022,4,40
Acre,Homicídio doloso,2022,4,21
Acre,Roubo de veículo,2022,4,52
Acre,Tentativa de homicídio,2022,4,27
Acre,Estupro,2022,5,45
Acre,Furto de veículo,2022,5,29
Acre,Homicídio doloso,2022,5,23
Acre,Roubo de veículo,2022,5,61
Acre,Tentativa de homicídio,2022,5,31
Acre,Estupro,2022,6,45
Acre,Furto de veículo,2022,6,50
Acre,Homicídio doloso,2022,6,12
Acre,Roubo de veículo,2022,6,50
Acre,Roubo seguido de morte (latrocínio),2022,6,1
Acre,Tentativa de homicídio,2022,6,22
Acre,Estupro,2022,7,62
Acre,Furto de veículo,2022,7,44
Acre,Homicídio doloso,2022,7,20
Acre,Roubo de veículo,2022,7,49
Acre,Tentativa de homicídio,2022,7,39
Acre,Estupro,2022,8,47
Acre,Furto de veículo,2022,8,34
Acre,Homicídio doloso,2022,8,9
Acre,Roubo de veículo,2022,8,47
Acre,Roubo seguido de morte (latrocínio),2022,8,1
Acre,Tentativa de homicídio,2022,8,32
Acre,Estupro,2022,9,59
Acre,Furto de veículo,2022,9,33
Acre,Homicídio doloso,2022,9,16
Acre,Roubo de veículo,2022,9,57
Acre,Roubo seguido de morte (latrocínio),2022,9,1
Acre,Tentativa de homicídio,2022,9,26
Acre,Estupro,2022,10,49
Acre,Furto de veículo,2022,10,41
Acre,Homicídio doloso,2022,10,14
Acre,Roubo de veículo,2022,10,52
Acre,Tentativa de homicídio,2022,10,41
Acre,Estupro,2022,11,53
Acre,Furto de veículo,2022,11,41
Acre,Homicídio doloso,2022,11,29
Acre,Lesão corporal seguida de morte,2022,11,2
Acre,Roubo de veículo,2022,11,61
Acre,Roubo seguido de morte (latrocínio),2022,11,1
Acre,Tentativa de homicídio,2022,11,30
Acre,Estupro,2022,12,58
Acre,Furto de veículo,2022,12,52
Acre,Homicídio doloso,2022,12,22
Acre,Lesão corporal seguida de morte,2022,12,1
Acre,Roubo de veículo,2022,12,43
Acre,Tentativa de homicídio,2022,12,31
Alagoas,Estupro,2022,1,57
Alagoas,Furto de veículo,2022,1,160
Alagoas,Homicídio doloso,2022,1,102
Alagoas,Lesão corporal seguida de morte,2022,1,0
Alagoas,Roubo a instituição financeira,2022,1,0
Alagoas,Roubo de carga,2022,1,1
Alagoas,Roubo de veículo,2022,1,130
Alagoas,Roubo seguido de morte (latrocínio),2022,1,1
Alagoas,Tentativa de homicídio,2022,1,47
Alagoas,Estupro,2022,2,45
Alagoas,Furto de veículo,2022,2,144
Alagoas,Homicídio doloso,2022,2,85
Alagoas,Lesão corporal seguida de morte,2022,2,0
Alagoas,Roubo a instituição financeira,2022,2,0
Alagoas,Roubo de carga,2022,2,0
Alagoas,Roubo de veículo,2022,2,138
Alagoas,Roubo seguido de morte (latrocínio),2022,2,2
Alagoas,Tentativa de homicídio,2022,2,55
Alagoas,Estupro,2022,3,81
Alagoas,Furto de veículo,2022,3,162
Alagoas,Homicídio doloso,2022,3,95
Alagoas,Lesão corporal seguida de morte,2022,3,1
Alagoas,Roubo a instituição financeira,2022,3,0
Alagoas,Roubo de carga,2022,3,0
Alagoas,Roubo de veículo,2022,3,132
Alagoas,Roubo seguido de morte (latrocínio),2022,3,2
Alagoas,Tentativa de homicídio,2022,3,46
Alagoas,Estupro,2022,4,73
Alagoas,Furto de veículo,2022,4,135
Alagoas,Homicídio doloso,2022,4,107
Alagoas,Roubo de carga,2022,4,1
Alagoas,Roubo de veículo,2022,4,114
Alagoas,Roubo seguido de morte (latrocínio),2022,4,4
Alagoas,Tentativa de homicídio,2022,4,45
Alagoas,Estupro,2022,5,17
Alagoas,Furto de veículo,2022,5,142
Alagoas,Homicídio doloso,2022,5,77
Alagoas,Lesão corporal seguida de morte,2022,5,1
Alagoas,Roubo de veículo,2022,5,143
Alagoas,Roubo seguido de morte (latrocínio),2022,5,2
Alagoas,Tentativa de homicídio,2022,5,45
Alagoas,Estupro,2022,6,54
Alagoas,Furto de veículo,2022,6,183
Alagoas,Homicídio doloso,2022,6,86
Alagoas,Roubo de carga,2022,6,2
Alagoas,Roubo de veículo,2022,6,136
Alagoas,Roubo seguido de morte (latrocínio),2022,6,1
Alagoas,Tentativa de homicídio,2022,6,41
Alagoas,Estupro,2022,7,74
Alagoas,Furto de veículo,2022,7,184
Alagoas,Homicídio doloso,2022,7,92
Alagoas,Lesão corporal seguida de morte,2022,7,0
Alagoas,Roubo a instituição financeira,2022,7,0
Alagoas,Roubo de carga,2022,7,5
Alagoas,Roubo de veículo,2022,7,150
Alagoas,Roubo seguido de morte (latrocínio),2022,7,3
Alagoas,Tentativa de homicídio,2022,7,67
Alagoas,Estupro,2022,8,73
Alagoas,Furto de veículo,2022,8,158
Alagoas,Homicídio doloso,2022,8,63
Alagoas,Lesão corporal seguida de morte,2022,8,2
Alagoas,Roubo a instituição financeira,2022,8,0
Alagoas,Roubo de carga,2022,8,0
Alagoas,Roubo de veículo,2022,8,133
Alagoas,Roubo seguido de morte (latrocínio),2022,8,2
Alagoas,Tentativa de homicídio,2022,8,68
Alagoas,Estupro,2022,9,79
Alagoas,Furto de veículo,2022,9,176
Alagoas,Homicídio doloso,2022,9,90
Alagoas,Roubo de carga,2022,9,3
Alagoas,Roubo de veículo,2022,9,134
Alagoas,Roubo seguido de morte (latrocínio),2022,9,1
Alagoas,Tentativa de homicídio,2022,9,49
Alagoas,Estupro,2022,10,73
Alagoas,Furto de veículo,2022,10,192
Alagoas,Homicídio doloso,2022,10,95
Alagoas,Roubo de carga,2022,10,3
Alagoas,Roubo de veículo,2022,10,158
Alagoas,Roubo seguido de morte (latrocínio),2022,10,2
Alagoas,Tentativa de homicídio,2022,10,57
Alagoas,Estupro,2022,11,4
Alagoas,Furto de veículo,2022,11,155
Alagoas,Homicídio doloso,2022,11,83
Alagoas,Roubo de carga,2022,11,3
Alagoas,Roubo de veículo,2022,11,145
Alagoas,Tentativa de homicídio,2022,11,79
Alagoas,Estupro,2022,12,57
Alagoas,Furto de veículo,2022,12,231
Alagoas,Homicídio doloso,2022,12,103
Alagoas,Roubo de carga,2022,12,2
Alagoas,Roubo de veículo,2022,12,183
Alagoas,Tentativa de homicídio,2022,12,67
Amapá,Estupro,2022,1,7
Amapá,Furto de veículo,2022,1,30
Amapá,Homicídio doloso,2022,1,16
Amapá,Lesão corporal seguida de morte,2022,1,0
Amapá,Roubo a instituição financeira,2022,1,0
Amapá,Roubo de carga,2022,1,0
Amapá,Roubo de veículo,2022,1,39
Amapá,Roubo seguido de morte (latrocínio),2022,1,5
Amapá,Tentativa de homicídio,2022,1,18
Amapá,Estupro,2022,2,13
Amapá,Furto de veículo,2022,2,120
Amapá,Homicídio doloso,2022,2,20
Amapá,Lesão corporal seguida de morte,2022,2,0
Amapá,Roubo a instituição financeira,2022,2,0
Amapá,Roubo de carga,2022,2,0
Amapá,Roubo de veículo,2022,2,25
Amapá,Roubo seguido de morte (latrocínio),2022,2,2
Amapá,Tentativa de homicídio,2022,2,12
Amapá,Estupro,2022,3,5
Amapá,Furto de veículo,2022,3,28
Amapá,Homicídio doloso,2022,3,12
Amapá,Lesão corporal seguida de morte,2022,3,1
Amapá,Roubo a instituição financeira,2022,3,0
Amapá,Roubo de carga,2022,3,1
Amapá,Roubo de veículo,2022,3,37
