uf,tipo_crime,ano,mes,sexo_vitima,quantidade_vitimas
Acre,Homicídio doloso,2022,1,Feminino,2
Acre,Homicídio doloso,2022,1,Masculino,8
Acre,Homicídio doloso,2022,1,Nao informado,0
Acre,Homicídio doloso,2022,2,Feminino,0
Acre,Homicídio doloso,2022,2,Masculino,10
Acre,Homicídio doloso,2022,2,Nao informado,0
Acre,Homicídio doloso,2022,3,Feminino,2
Acre,Homicídio doloso,2022,3,Masculino,19
Acre,Homicídio doloso,2022,3,Nao informado,0
Acre,Homicídio doloso,2022,4,Feminino,2
Acre,Homicídio doloso,2022,4,Masculino,19
Acre,Homicídio doloso,2022,5,Feminino,6
Acre,Homicídio doloso,2022,5,Masculino,17
Acre,Homicídio doloso,2022,6,Feminino,3
Acre,Homicídio doloso,2022,6,Masculino,9
Acre,Homicídio doloso,2022,7,Feminino,2
Acre,Homicídio doloso,2022,7,Masculino,18
Acre,Homicídio doloso,2022,8,Masculino,9
Acre,Homicídio doloso,2022,9,Feminino,1
Acre,Homicídio doloso,2022,9,Masculino,15
Acre,Homicídio doloso,2022,10,Feminino,1
Acre,Homicídio doloso,2022,10,Masculino,13
Acre,Homicídio doloso,2022,11,Feminino,3
Acre,Homicídio doloso,2022,11,Masculino,26
Acre,Homicídio doloso,2022,12,Feminino,1
Acre,Homicídio doloso,2022,12,Masculino,21
Acre,Lesão corporal seguida de morte,2022,1,Feminino,0
Acre,Lesão corporal seguida de morte,2022,1,Masculino,1
Acre,Lesão corporal seguida de morte,2022,1,Nao informado,0
Acre,Lesão corporal seguida de morte,2022,2,Feminino,0
Acre,Lesão corporal seguida de morte,2022,2,Masculino,0
Acre,Lesão corporal seguida de morte,2022,2,Nao informado,0
Acre,Lesão corporal seguida de morte,2022,3,Feminino,0
Acre,Lesão corporal seguida de morte,2022,3,Masculino,0
Acre,Lesão corporal seguida de morte,2022,3,Nao informado,0
Acre,Lesão corporal seguida de morte,2022,11,Masculino,2
Acre,Lesão corporal seguida de morte,2022,12,Masculino,1
Acre,Roubo seguido de morte (latrocínio),2022,1,Feminino,0
Acre,Roubo seguido de morte (latrocínio),2022,1,Masculino,0
Acre,Roubo seguido de morte (latrocínio),2022,1,Nao informado,0
Acre,Roubo seguido de morte (latrocínio),2022,2,Feminino,1
Acre,Roubo seguido de morte (latrocínio),2022,2,Masculino,1
Acre,Roubo seguido de morte (latrocínio),2022,2,Nao informado,0
Acre,Roubo seguido de morte (latrocínio),2022,3,Feminino,0
Acre,Roubo seguido de morte (latrocínio),2022,3,Masculino,0
Acre,Roubo seguido de morte (latrocínio),2022,3,Nao informado,0
Acre,Roubo seguido de morte (latrocínio),2022,6,Masculino,1
Acre,Roubo seguido de morte (latrocínio),2022,8,Masculino,1
Acre,Roubo seguido de morte (latrocínio),2022,9,Masculino,1
Acre,Roubo seguido de morte (latrocínio),2022,11,Masculino,1
Alagoas,Homicídio doloso,2022,1,Feminino,11
Alagoas,Homicídio doloso,2022,1,Masculino,91
Alagoas,Homicídio doloso,2022,1,Nao informado,0
Alagoas,Homicídio doloso,2022,2,Feminino,0
Alagoas,Homicídio doloso,2022,2,Masculino,85
Alagoas,Homicídio doloso,2022,2,Nao informado,0
Alagoas,Homicídio doloso,2022,3,Feminino,8
Alagoas,Homicídio doloso,2022,3,Masculino,87
Alagoas,Homicídio doloso,2022,3,Nao informado,0
Alagoas,Homicídio doloso,2022,4,Feminino,4
Alagoas,Homicídio doloso,2022,4,Masculino,103
Alagoas,Homicídio doloso,2022,4,Nao informado,10
Alagoas,Homicídio doloso,2022,5,Feminino,3
Alagoas,Homicídio doloso,2022,5,Masculino,87
Alagoas,Homicídio doloso,2022,6,Feminino,6
Alagoas,Homicídio doloso,2022,6,Masculino,80
Alagoas,Homicídio doloso,2022,7,Feminino,9
Alagoas,Homicídio doloso,2022,7,Masculino,83
Alagoas,Homicídio doloso,2022,7,Nao informado,0
Alagoas,Homicídio doloso,2022,8,Feminino,1
