cod_ibge,municipio,uf,regiao,data,vitimas,ano,mes
1200435,Santa Rosa Do Purus,AC,NORTE,2018-10-01,0,2018,10
1200435,Santa Rosa Do Purus,AC,NORTE,2018-11-01,0,2018,11
1200435,Santa Rosa Do Purus,AC,NORTE,2018-12-01,0,2018,12
1200435,Santa Rosa Do Purus,AC,NORTE,2020-01-01,0,2020,1
1200435,Santa Rosa Do Purus,AC,NORTE,2020-02-01,0,2020,2
1200435,Santa Rosa Do Purus,AC,NORTE,2020-03-01,0,2020,3
1200435,Santa Rosa Do Purus,AC,NORTE,2020-04-01,0,2020,4
1200435,Santa Rosa Do Purus,AC,NORTE,2020-05-01,0,2020,5
1200435,Santa Rosa Do Purus,AC,NORTE,2020-06-01,0,2020,6
1200435,Santa Rosa Do Purus,AC,NORTE,2020-07-01,0,2020,7
1200435,Santa Rosa Do Purus,AC,NORTE,2020-08-01,0,2020,8
1200435,Santa Rosa Do Purus,AC,NORTE,2020-09-01,0,2020,9
1200435,Santa Rosa Do Purus,AC,NORTE,2020-10-01,1,2020,10
1200435,Santa Rosa Do Purus,AC,NORTE,2020-11-01,0,2020,11
1200435,Santa Rosa Do Purus,AC,NORTE,2020-12-01,0,2020,12
1200435,Santa Rosa Do Purus,AC,NORTE,2021-01-01,0,2021,1
1200435,Santa Rosa Do Purus,AC,NORTE,2021-02-01,0,2021,2
1200435,Santa Rosa Do Purus,AC,NORTE,2021-03-01,0,2021,3
1200435,Santa Rosa Do Purus,AC,NORTE,2021-04-01,0,2021,4
1200435,Santa Rosa Do Purus,AC,NORTE,2021-05-01,0,2021,5
1200435,Santa Rosa Do Purus,AC,NORTE,2021-11-01,0,2021,11
1200435,Santa Rosa Do Purus,AC,NORTE,2021-12-01,0,2021,12
1200435,Santa Rosa Do Purus,AC,NORTE,2022-01-01,0,2022,1
1200435,Santa Rosa Do Purus,AC,NORTE,2022-02-01,0,2022,2
1200435,Santa Rosa Do Purus,AC,NORTE,2022-03-01,0,2022,3
1200435,Santa Rosa Do Purus,AC,NORTE,2022-08-01,0,2022,8
2706208,Palestina,AL,NORDESTE,2020-09-01,1,2020,9
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-01-01,0,2018,1
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-02-01,0,2018,2
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-03-01,0,2018,3
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-04-01,0,2018,4
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-05-01,0,2018,5
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-06-01,0,2018,6
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-07-01,0,2018,7
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-08-01,0,2018,8
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-09-01,0,2018,9
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-10-01,0,2018,10
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-11-01,0,2018,11
530010827,Jardim Botanico,DF,CENTRO-OESTE,2018-12-01,0,2018,12
530010827,Jardim Botanico,DF,CENTRO-OESTE,2019-01-01,0,2019,1
530010827,Jardim Botanico,DF,CENTRO-OESTE,2019-02-01,0,2019,2
530010827,Jardim Botanico,DF,CENTRO-OESTE,2019-03-01,0,2019,3
530010827,Jardim Botanico,DF,CENTRO-OESTE,2019-04-01,0,2019,4
